New-World-chat, chat
solan,-solan-goose,-solant-goose,-Sula bassana
saguaro,-sahuaro,-Carnegiea gigantea
Australopithecus robustus
surgeonfish
daphne
Western-silvery aster
garden-spider,-aranea diademata
jack-in-the-pulpit,-Indian-turnip,-wake-robin,-Arisaema-triphyllum,-Arisaema atrorubens
wild-madder,-white-madder,-white-bedstraw,-infant's-breath,-false-baby's-breath,-Galium mollugo
glutton,-Gulo-gulo, wolverine
rhea,-nandu,-Pterocnemia pennata
everlasting pea
Alpine-besseya,-Besseya alpina
birch-leaf-miner,-Fenusa pusilla
white-fir,-Colorado-fir,-California-white-fir,-Abies-concolor,-Abies lowiana
corn-cockle,-corn-campion,-crown-of-the-field,-Agrostemma githago
sparid,-sparid fish
maleberry,-male-berry,-privet-andromeda,-he-huckleberry,-Lyonia ligustrina
western-narrow-mouthed-toad,-Gastrophryne olivacea
bristly-sarsaparilla,-bristly-sarsparilla,-dwarf-elder,-Aralia hispida
hill-myna,-Indian-grackle,-grackle,-Gracula religiosa
razor-clam,-jackknife-clam, knife-handle
English-elm,-European-elm,-Ulmus procera
slow-loris,-Nycticebus-tardigradua,-Nycticebus pygmaeus
sweet-potato whitefly
red-mulberry,-Morus rubra
sanguinary-ant,-Formica sanguinea
ruddy-turnstone,-Arenaria interpres
colobus,-colobus monkey
coffeeberry,-California-buckthorn,-California-coffee,-Rhamnus californicus
cutleaved-coneflower,-Rudbeckia laciniata
black-stork,-ciconia nigra
flooded gum
flowering-ash,-Fraxinus cuspidata
squash
bronco,-bronc, broncho
avadavat, amadavat
cicada, cicala
podocarp
yellow-cypress,-yellow-cedar,-Nootka-cypress,-Alaska-cedar,-Chamaecyparis nootkatensis
aye-aye,-Daubentonia madagascariensis
leporid,-leporid mammal
root climber
cashew,-cashew nut
wood-horsetail,-Equisetum Sylvaticum
beech fern
cape-forget-me-not,-Anchusa riparia
dichondra,-Dichondra micrantha
cauliflower,-Brassica-oleracea botrytis
Jamaica-quassia,-bitterwood,-Picrasma-excelsa,-Picrasma excelsum
pilot boat
rampion,-rampion-bellflower,-Campanula rapunculus
Virginia-spring-beauty,-Claytonia virginica
pine-fern,-Anemia adiantifolia
hickory,-hickory tree
bird-of passage
bed jacket
common-wolffia,-Wolffia columbiana
cricket-bat-willow,-Salix-alba caerulea
soursop, guanabana
crow-pheasant,-Centropus sinensis
American-wistaria,-American-wisteria,-Wisteria frutescens
crab-eating-dog,-crab-eating-fox,-Dusicyon cancrivorus
yellowlegs
sweet-cassava,-Manihot dulcis
Fissipedia
chinook,-chinook-salmon,-king-salmon,-quinnat-salmon,-Oncorhynchus tshawytscha
lemon-shark,-Negaprion brevirostris
salsify
homopterous-insect, homopteran
Michigan-lily,-Lilium michiganense
giant-bamboo,-kyo-chiku,-Dendrocalamus giganteus
silver-tree,-Tarrietia argyrodendron
rattlesnake, rattler
genipa
great-grey-owl,-great-gray-owl,-strix nebulosa
shining-clubmoss,-Lycopodium lucidulum
quince,-quince-bush,-Cydonia oblonga
interrupted-fern,-Osmunda clatonia
ironweed, vernonia
particolored buckeye
Arkansas-kingbird,-western kingbird
large-leaved-aster,-Aster macrophyllus
guenon,-guenon monkey
monarch,-monarch-butterfly,-milkweed-butterfly,-Danaus plexippus
small_boat
macadamia nut
northern-flying-squirrel,-Glaucomys sabrinus
spring chicken
tyrannosaur,-tyrannosaurus,-Tyrannosaurus rex
hog-peanut,-wild-peanut,-Amphicarpaea-bracteata,-Amphicarpa bracteata
sea-hare,-Aplysia punctata
marupa,-Simarouba amara
club_car, lounge_car
ephemerid, ephemeropteran
ibex,-capra ibex
bird-pepper,-Capsicum-frutescens-baccatum,-Capsicum baccatum
upland-white-aster,-Aster ptarmicoides
columnea
Angora,-Angora goat
ordinary, ordinary_bicycle
foamflower,-coolwart,-false-miterwort,-false-mitrewort,-Tiarella cordifolia
black-medick,-hop-clover,-yellow-trefoil,-nonesuch-clover,-Medicago lupulina
gila-monster,-heloderma suspectum
raspberry,-raspberry bush
grackle,-crow blackbird
ringlet,-ringlet butterfly
brown-soft-scale,-Coccus hesperidum
dairy-cattle,-dairy-cow,-milch-cow,-milk-cow,-milcher, milker
pumpkin-ash,-Fraxinus tomentosa
saurian
sphenisciform seabird
bicycle rack
horned-whiff,-Citharichthys cornutus
young bird
clerid-beetle, clerid
human-botfly,-Dermatobia hominis
calliandra
ibizan-hound,-ibizan podenco
common-oak,-English-oak,-pedunculate-oak,-Quercus robur
mayhaw,-summer-haw,-Crataegus aestivalis
yellow-crowned-night-heron,-Nyctanassa violacea
goldenseal,-golden-seal,-yellow-root,-turmeric-root,-Hydrastis Canadensis
Angora,-Angora rabbit
mayfly,-dayfly, shadfly
watchdog,-guard dog
keyhole-limpet,-Fissurella-apertura,-Diodora apertura
cayuse,-Indian pony
black-carpet beetle
arctic-willow,-Salix arctica
naranjilla,-Solanum quitoense
archiannelid
moon-shell, moonshell
butterfly-orchid,-butterfly-orchis,-Orchis papilionaceae
asparagus-bean,-yard-long-bean,-Vigna-unguiculata-sesquipedalis,-Vigna sesquipedalis
komodo-dragon,-komodo-lizard,-dragon-lizard,-giant-lizard,-varanus komodoensis
peach-bells,-peach-bell,-willow-bell,-Campanula persicifolia
gavial,-Gavialis gangeticus
parula-warbler,-northern-parula,-Parula americana
toadfish,-Opsanus tau
silver-perch,-mademoiselle,-Bairdiella chrysoura
cherry
prince's-feather,-princess-feather,-kiss-me-over-the-garden-gate,-prince's-plume,-Polygonum orientale
car train
nyala,-Tragelaphus angasi
norfolk-island-pine,-Araucaria-heterophylla,-Araucaria excelsa
squash,-squash vine
searcher,-searcher-beetle,-Calosoma scrutator
dasyurid-marsupial, dasyurid
Seneca-snakeroot,-Seneka-snakeroot,-senga-root,-senega-root,-senega-snakeroot,-Polygala senega
Indian-hemp,-Cannabis indica
goatsucker,-nightjar, caprimulgid
titi,-buckwheat-tree,-Cliftonia monophylla
African-wild-ass,-Equus asinus
swan
winter's-bark,-winter's-bark-tree,-Drimys winteri
police boat
water-hyacinth,-water-orchid,-Eichhornia-crassipes,-Eichhornia spesiosa
grey-skate,-gray-skate,-Raja batis
jewfish,-Mycteroperca bonaci
pulasan, pulassan
fairy swallow
Coryphaena hippurus
horseradish,-horseradish root
Moreton-Bay-chestnut,-Australian chestnut
common-nutcracker,-Nucifraga caryocatactes
chough
western-chokecherry,-Prunus-virginiana-demissa,-Prunus demissa
amber-lily,-Anthericum torreyi
yellowfin-mojarra,-Gerres cinereus
sugarberry, hackberry
cormous plant
shallot
American-twinflower,-Linnaea-borealis americana
toucan
wax-palm,-Ceroxylon-andicola,-Ceroxylon alpinum
straight-chair,-side chair
broomcorn,-Sorghum-vulgare technicum
jointed-charlock,-wild-radish,-wild-rape,-runch,-Raphanus raphanistrum
black-birch,-river-birch,-red-birch,-Betula nigra
Australian-pine,-Casuarina equisetfolia
pellitory-of-the-wall,-wall-pellitory,-pellitory,-Parietaria difussa
iguanid,-iguanid lizard
Iceland-poppy,-Papaver alpinum
ivory-palm,-ivory-nut-palm,-ivory-plant,-Phytelephas macrocarpa
honey-mesquite,-Western-honey-mesquite,-Prosopis glandulosa
northern-whiting,-Menticirrhus saxatilis
common-matrimony-vine,-Duke-of-Argyll's-tea-tree,-Lycium-barbarum,-Lycium halimifolium
garlic, ail
impala,-Aepyceros melampus
domestic-sheep,-Ovis aries
warthog
lacewing,-lacewing fly
galangal,-Alpinia galanga
common-thyme,-Thymus vulgaris
mute-swan,-Cygnus olor
pennycress
jonquil
fragrant-agrimony,-Agrimonia procera
hybrid-tuberous-begonia,-Begonia tuberhybrida
cherry-plum,-myrobalan,-myrobalan-plum,-Prunus cerasifera
zebra-mussel,-Dreissena polymorpha
white-stork,-ciconia ciconia
cephalopod,-cephalopod mollusk
car,-elevator car
black-cohosh,-black-snakeroot,-rattle-top,-Cimicifuga racemosa
tawny-eagle,-Aquila rapax
jaboticaba,-jaboticaba-tree,-Myrciaria cauliflora
spat
lappet,-lappet moth
drum,-metal drum
bladderpod
potato-moth,-potato-tuber-moth,-splitworm,-Phthorimaea operculella
spider orchid
puff-adder,-Bitis arietans
great-ape, pongid
spruce-grouse,-Canachites canadensis
moloch
purple-fringeless-orchid,-purple-fringeless-orchis,-Habenaria peramoena
sleigh bed
wild-boar,-boar,-sus scrofa
pompano
viperine-grass-snake,-Natrix maura
ceratopsian,-horned dinosaur
pipewort,-Eriocaulon aquaticum
freetail,-free-tailed-bat,-freetailed bat
african-chameleon,-chamaeleo chamaeleon
marblewood,-marble-wood,-Andaman-marble,-Diospyros kurzii
blue-succory,-cupid's-dart,-Catananche caerulea
rough-stemmed goldenrod
dogtooth-violet,-dogtooth,-dog's-tooth violet
balata,-balata-tree,-beefwood,-bully-tree,-Manilkara bidentata
bastard-pennyroyal,-Trichostema dichotomum
sea-aster,-sea-starwort,-Aster tripolium
hatchling
brittlebush,-brittle-bush,-incienso,-Encelia farinosa
white-marlin,-Makaira albida
Lanthanotus borneensis
snow-pea,-sugar pea
yam
schistosome,-blood fluke
reeve
butterweed
molter, moulter
water-strider,-pond-skater,-water skater
greater-kudu,-Tragelaphus strepsiceros
agua,-agua-toad,-Bufo marinus
timothy
arthropod
water-turkey,-Anhinga anhinga
eggar, egger
nymphalid,-nymphalid-butterfly,-brush-footed-butterfly,-four-footed butterfly
cliff-brake,-cliff-brake,-rock brake
plains-spadefoot,-Scaphiopus bombifrons
ladyfish,-tenpounder,-Elops saurus
goncalo-alves,-Astronium fraxinifolium
camas,-camass,-quamash,-camosh, camash
snowbell,-Styrax obassia
Port-Jackson-heath,-Epacris purpurascens
persimmon
rabbit-brush,-rabbit-bush,-Chrysothamnus nauseosus
apricot
physic-nut,-Jatropha curcus
dodder
meadow-goldenrod,-Canadian-goldenrod,-Solidago canadensis
angelica
annelid,-annelid-worm,-segmented worm
chicory,-chicory root
Oriental-scops-owl,-Otus sunia
striped-bass,-striper,-Roccus-saxatilis, rockfish
New-World-warbler,-wood warbler
diapheromera,-Diapheromera femorata
capelin,-capelan, caplin
least-sandpiper,-stint,-Erolia minutilla
white-milkweed,-Asclepias albicans
torpedo
galax,-galaxy,-wandflower,-beetleweed,-coltsfoot,-Galax urceolata
butterfly ray
car mirror
sweet-alyssum,-sweet-alison,-Lobularia maritima
blackwood,-blackwood tree
winged-elm,-wing-elm,-Ulmus alata
capon
Colorado-potato-beetle,-Colorado-beetle,-potato-bug,-potato-beetle,-Leptinotarsa decemlineata
broad-bean,-fava-bean, horsebean
piping-plover,-Charadrius melodus
kingwood,-kingwood-tree,-Dalbergia cearensis
great-skua,-Catharacta skua
pussy-willow,-Salix discolor
red-bellied-snake,-Storeria occipitamaculata
flying-gurnard,-flying-robin, butterflyfish
weeping-spruce,-Brewer's-spruce,-Picea breweriana
New-World-vulture, cathartid
tonguefish, tongue-fish
mouse-ear-hawkweed,-Pilosella-officinarum,-Hieracium pilocella
herring,-Clupea harangus
California-bluebell,-whitlavia,-Phacelia-minor,-Phacelia whitlavia
jaguar,-panther,-panthera-onca,-felis onca
American-white-oak,-Quercus alba
hound,-hound dog
September-elm,-red-elm,-Ulmus serotina
American-alligator,-Alligator mississipiensis
pikeblenny
typical jerboa
forest-goat,-spindle-horn,-Pseudoryx nghetinhensis
American-hackberry,-Celtis occidentalis
skink,-scincid,-scincid lizard
polar-hare,-Arctic-hare,-Lepus arcticus
dracontium
Mexican-mint,-Salvia divinorum
siamang,-hylobates-syndactylus,-symphalangus syndactylus
grub
smooth-crabgrass,-Digitaria ischaemum
corn-spurry,-corn-spurrey,-Spergula arvensis
red-drum,-channel-bass,-redfish,-Sciaenops ocellatus
tobacco-moth,-cacao-moth,-Ephestia elutella
fringed gentian
crossopterygian,-lobefin,-lobe-finned fish
Edmontonia
granadilla,-giant-granadilla,-Passiflora quadrangularis
common-louse,-Pediculus humanus
lesser-celandine,-pilewort,-Ranunculus ficaria
collared-peccary,-javelina,-Tayassu-angulatus,-Tayassu-tajacu,-Peccari angulatus
trotting-horse, trotter
nilgai,-nylghai,-nylghau,-blue-bull,-Boselaphus tragocamelus
styrax
corgi,-Welsh corgi
melon
Japanese-oak,-Lithocarpus-glabra,-Lithocarpus glaber
Spanish-grunt,-Haemulon macrostomum
wheatear
Indian-paintbrush,-painted cup
lungfish
red oak
grape fern
spotted-salamander,-fire-salamander,-Salamandra maculosa
lesser-prairie-chicken,-Tympanuchus pallidicinctus
oyster-bed,-oyster-bank,-oyster park
bench clamp
pinfish,-sailor's-choice,-squirrelfish,-Lagodon rhomboides
alkali-grass,-Zigadenus elegans
banded-krait,-banded-adder,-Bungarus fasciatus
poll,-poll parrot
marine-mussel, mytilid
white-camas,-Zigadenus glaucus
bettong
swamp-oak,-Viminaria-juncea,-Viminaria denudata
bok-choy,-bok choi
kiang,-Equus kiang
racer
American-bittern,-stake-driver,-Botaurus lentiginosus
tulip-tree,-tulip-poplar,-yellow-poplar,-canary-whitewood,-Liriodendron tulipifera
green-snake,-grass snake
ming tree
aoudad,-arui,-audad,-Barbary-sheep,-maned-sheep,-Ammotragus lervia
bonduc,-bonduc-tree,-Caesalpinia-bonduc,-Caesalpinia bonducella
tody
scouring-rush,-rough-horsetail,-Equisetum-hyemale,-Equisetum-hyemale-robustum,-Equisetum robustum
caltrop,-devil's-weed,-Tribulus terestris
aircraft-carrier,-carrier,-flattop,-attack-aircraft carrier
round-whitefish,-Menominee-whitefish,-Prosopium cylindraceum
California-black-oak,-Quercus kelloggii
kauri,-kaury,-Agathis australis
bobwhite,-bobwhite-quail, partridge
tender,-supply ship
blue-shark,-great-blue-shark,-Prionace glauca
coucal
deinonychus
testudineus
haricot
yellowtail,-Seriola dorsalis
crownbeard,-crown-beard,-crown beard
heart urchin
green-alder,-Alnus veridis
garambulla,-garambulla-cactus,-Myrtillocactus geometrizans
woodborer, borer
edible-cockle,-Cardium edule
hogchoker,-Trinectes maculatus
tadpole,-polliwog, pollywog
bluebird
tree squirrel
stock, gunstock
squab
bombycid,-bombycid-moth,-silkworm moth
billfish
cordgrass,-cord grass
shingle-oak,-laurel-oak,-Quercus imbricaria
pachysandra
recliner,-reclining-chair, lounger
tortoiseshell,-tortoiseshell-cat,-calico cat
katydid
deer-mouse,-Peromyscus maniculatus
doe
common-shiner,-silversides,-Notropis cornutus
cranberry-bush,-cranberry-tree,-American-cranberry-bush,-highbush-cranberry,-Viburnum trilobum
azure aster
chop-suey greens
hollyhock
Ixodes-scapularis,-black-legged tick
white-admiral,-Limenitis camilla
christella
spruce-pine,-Pinus glabra
leatherjacket, leatherfish
spiny puffer
ragged-robin,-cuckoo-flower,-Lychnis-flos-cuculi,-Lychins floscuculi
smilax,-Asparagus asparagoides
turfing-daisy,-Tripleurospermum-tchihatchewii,-Matricaria tchihatchewii
mahuang,-Ephedra sinica
pothos
lingonberry,-mountain-cranberry,-cowberry,-lowbush cranberry
umbrella-fern,-fan-fern,-Sticherus-flabellatus,-Gleichenia flabellata
hooded-ladies'-tresses,-Spiranthes romanzoffiana
New-World-opah,-Lampris guttatus
dalmatian,-coach-dog,-carriage dog
snuffbox-fern,-meadow-fern,-Thelypteris-palustris-pubescens,-Dryopteris-thelypteris pubescens
broad-buckler-fern,-Dryopteris dilatata
American-red-plum,-August-plum,-goose-plum,-Prunus americana
othonna
honey-bell,-honeybells,-Hermannia-verticillata,-Mahernia verticillata
queen-triggerfish,-Bessy-cerca,-oldwench,-oldwife,-Balistes vetula
mealworm
caracal,-desert-lynx,-Lynx caracal
strawberry-tomato,-dwarf-cape-gooseberry,-Physalis pruinosa
mountain-hollyhock,-Iliamna-ruvularis,-Iliamna acerifolia
balsam-poplar,-hackmatack,-tacamahac,-Populus balsamifera
ichneumon,-Herpestes ichneumon
Russian-almond,-dwarf-Russian-almond,-Prunus tenella
bilberry,-whortleberry,-European blueberry
rattlesnake orchid
waterweed
peachick, pea-chick
broad-leaved-montia,-Montia cordifolia
western-spadefoot,-Scaphiopus hammondii
mountain-beaver,-sewellel,-Aplodontia rufa
wolfsbane,-wolfbane,-wolf's-bane,-Aconitum lycoctonum
nautilus,-nuclear-submarine,-nuclear-powered submarine
blue-eyed-Mary,-Collinsia verna
silk-vine,-Periploca graeca
pipistrelle,-pipistrel,-Pipistrellus pipistrellus
Jamaican-cherry,-calabur-tree,-calabura,-silk-wood,-silkwood,-Muntingia calabura
automobile engine
Shasta-salamander,-Hydromantes shastae
convertible,-sofa bed
rainbow-runner,-Elagatis bipinnulata
spreading-fleabane,-Erigeron divergens
quillwort
elephant-seal,-sea elephant
temple-orange,-temple-orange-tree,-tangor,-king-orange,-Citrus nobilis
gibbon,-Hylobates lar
waterbuck
Montezuma
monal, monaul
jaguarundi,-jaguarundi-cat,-jaguarondi,-eyra,-Felis yagouaroundi
brown-trout,-salmon-trout,-Salmo trutta
Himalayan-lilac,-Syringa emodi
bee eater
Hudsonian-godwit,-Limosa haemastica
rock-crab,-Cancer irroratus
hanging fly
crucian-carp,-Carassius-carassius,-Carassius vulgaris
Carolina-hemlock,-Tsuga caroliniana
boarhound
stallion, entire
New-Zealand-daisybush,-Olearia haastii
sweet-corn,-green corn
leaf-miner, leaf-miner
exercise-bike, exercycle
trumpetfish,-Aulostomus maculatus
clipper,-clipper ship
dusty-miller,-silver-lace,-silver-lace,-Tanacetum-ptarmiciflorum,-Chrysanthemum ptarmiciflorum
aardwolf,-Proteles cristata
Tarsius syrichta
Mexican-poppy,-Argemone mexicana
gall-midge,-gallfly,-gall gnat
hard-shell crab
bald-eagle,-american-eagle,-haliaeetus leucocephalus
brompton-stock,-Matthiola incana
jewelweed,-lady's-earrings,-orange-balsam,-celandine,-touch-me-not,-Impatiens capensis
black bass
boatswain's-chair,-bosun's chair
prickly-poppy,-Papaver argemone
fly orchid
olive tree
adder,-common-viper,-Vipera berus
rock-rattlesnake,-Crotalus lepidus
common-shrew,-Sorex araneus
grunt
mesophyte,-mesophytic plant
sweet pepper
Cathaya
American-lady-crab,-lady-crab,-calico-crab,-Ovalipes ocellatus
junco, snowbird
small-civet,-Viverricula-indica,-Viverricula malaccensis
safety-bicycle,-safety bike
horse-tick,-horsefly,-Hippobosca equina
tree-lizard,-Urosaurus ornatus
jackknife-fish,-Equetus lanceolatus
flame-tree,-broad-leaved-bottletree,-Brachychiton australis
caracara
lesser-rorqual,-piked-whale,-minke-whale,-Balaenoptera acutorostrata
nightingale,-Luscinia megarhynchos
albacore,-long-fin-tunny,-Thunnus alalunga
mountain mint
miterwort,-mitrewort,-bishop's cap
hadrosaur,-hadrosaurus,-duck-billed dinosaur
bicycle-clip,-trouser clip
common-pond-skater,-Gerris lacustris
rosy-boa,-Lichanura trivirgata
migratory-quail,-Coturnix-coturnix,-Coturnix communis
tufted-titmouse,-Parus bicolor
Montagu's-harrier,-Circus pygargus
common-eland,-Taurotragus oryx
European-wood-mouse,-Apodemus sylvaticus
falcon-gentle, falcon-gentil
endive,-witloof,-Cichorium endivia
bloodberry,-blood-berry,-rougeberry,-rouge-plant,-Rivina humilis
bitter-dock,-broad-leaved-dock,-yellow-dock,-Rumex obtusifolius
musteline-mammal,-mustelid, musteline
Cynocephalus variegatus
attack dog
capulin,-capulin-tree,-Prunus capuli
cabin_cruiser, cruiser, pleasure_boat, pleasure_craft
field-brome,-Bromus arvensis
hammerhead,-hammerhead shark
bog aster
leopard
snipefish,-bellows fish
marumi,-marumi-kumquat,-round-kumquat,-Fortunella japonica
beaked-salmon,-sandfish,-Gonorhynchus gonorhynchus
tonka-bean,-coumara nut
western-red-backed-salamander,-Plethodon vehiculum
jaunting-car,-jaunty car
koala,-koala-bear,-kangaroo-bear,-native-bear,-phascolarctos cinereus
stinging-nettle,-Urtica dioica
Cro-magnon
two-eyed-violet,-heartsease,-Viola ocellata
jungle hen
wood mouse
myrtle,-Vinca minor
two-spotted-ladybug,-Adalia bipunctata
little-brown-bat,-little-brown-myotis,-Myotis leucifugus
hispid-pocket-mouse,-Perognathus hispidus
Christmas-bush,-Christmas-tree,-Ceratopetalum gummiferum
little-black-ant,-Monomorium minimum
piciform bird
purple-fringed-orchid,-purple-fringed-orchis,-Habenaria fimbriata
shrew mole
heron
man-of-war,-ship-of-the line
kumquat,-cumquat,-kumquat tree
razorback,-razorback-hog,-razorbacked hog
ivory-tree,-conessi,-kurchi,-kurchee,-Holarrhena-pubescens,-Holarrhena antidysenterica
grivet,-Cercopithecus aethiops
great-white-shark,-white-shark,-man-eater,-man-eating-shark,-carcharodon carcharias
jackdaw,-daw,-Corvus monedula
striped-muishond,-Ictonyx striata
jumping-plant-louse,-psylla, psyllid
megatherian,-megatheriid,-megatherian mammal
muscadine,-bullace grape
brook-trout,-speckled-trout,-Salvelinus fontinalis
alpine-milk-vetch,-Astragalus alpinus
proboscidean, proboscidian
red-wolf,-maned-wolf,-Canis-rufus,-Canis niger
water-buffalo,-water-ox,-asiatic-buffalo,-bubalus bubalis
cinnamon bear
itch-mite, sarcoptid
cassia
prairie-orchid,-prairie-white-fringed-orchis,-Habenaria leucophaea
bush-violet, browallia
quandong,-blue fig
kid
sagebrush-lizard,-Sceloporus graciosus
crab-eating-macaque,-croo-monkey,-Macaca irus
sea-cucumber, holothurian
perennial
common-myrtle,-Myrtus communis
collared-pika,-Ochotona collaris
sea lion
burweed-marsh-elder,-false-ragweed,-Iva xanthifolia
eastern-pipistrel,-Pipistrellus subflavus
woad
cactus-mouse,-Peromyscus eremicus
sand cat
cod, codfish
shire,-shire horse
bitter pea
nude mouse
creeping-spike-rush,-Eleocharis palustris
broccoli,-Brassica-oleracea italica
stink-bell,-Fritillaria agrestis
silky-oak,-Grevillea robusta
painted-beauty,-Vanessa virginiensis
florida-selaginella,-Selaginella eatonii
anthropoid
dwarf-astilbe,-Astilbe-chinensis pumila
whydah,-whidah,-widow bird
hagberry-tree,-European-bird-cherry,-common-bird-cherry,-Prunus padus
steed
canal_boat, narrow_boat, narrowboat
sweet-marjoram,-knotted-marjoram,-Origanum-majorana,-Majorana hortensis
bicycle pump
autophyte,-autophytic-plant,-autotroph,-autotrophic organism
green-woodpecker,-Picus viridis
mountain sheep
dump-truck,-dumper,-tipper-truck,-tipper-lorry,-tip-truck, tipper
pogge,-armed-bullhead,-Agonus cataphractus
rough-green-snake,-Opheodrys aestivus
whiptail,-whiptail lizard
Hall's-honeysuckle,-Lonicera-japonica halliana
tiger-shark,-galeocerdo cuvieri
ern,-erne,-grey-sea-eagle,-gray-sea-eagle,-European-sea-eagle,-white-tailed-sea-eagle,-Haliatus albicilla
shelduck
limber-pine,-Pinus flexilis
tree-frog, tree-frog
little-blue-heron,-egretta caerulea
gull,-seagull,-sea gull
squirrel
spike-lavender,-French-lavender,-Lavandula latifolia
factory ship
frigate-bird,-man-of-war bird
sergeant-major,-Abudefduf saxatilis
kingbird,-Tyrannus tyrannus
house-mouse,-Mus musculus
caiman, cayman
tall-gallberry holly
pest
fern
barn-spider,-Araneus cavaticus
woolly-aphid,-woolly-plant louse
bullfrog,-rana catesbeiana
lungless-salamander, plethodont
black-caraway,-nutmeg-flower,-Roman-coriander,-Nigella sativa
easy-chair,-lounge-chair,-overstuffed chair
Pacific-giant-salamander,-Dicamptodon ensatus
car carrier
snow-bunting,-snowbird,-snowflake,-Plectrophenax nivalis
big-tree-plum,-Prunus mexicana
chichipe,-Lemaireocereus chichipe
krigia
metazoan
walnut
achimenes,-hot-water plant
black-and-gold-garden-spider,-Argiope aurantia
swamp-milkweed,-Asclepias incarnata
macaw
false gromwell
sloth-bear,-melursus-ursinus,-ursus ursinus
rhododendron
Queensland-bottletree,-narrow-leaved-bottletree,-Brachychiton-rupestris,-Sterculia rupestris
beaver
sweet-sultan,-Amberboa-moschata,-Centaurea moschata
western-mugwort,-white-sage,-cudweed,-prairie-sage,-Artemisia-ludoviciana,-Artemisia gnaphalodes
lima-bean,-lima-bean-plant,-Phaseolus limensis
walrus,-seahorse,-sea horse
seasnail
tent-caterpillar-moth,-Malacosoma americana
bladder fern
dwarf-pipefish,-Syngnathus hildebrandi
goat-willow,-florist's-willow,-pussy-willow,-Salix caprea
northern-dune-tansy,-Tanacetum douglasii
tarsier
oil palm
dita,-dita-bark,-devil-tree,-Alstonia scholaris
cassava, casava
Damaraland-mole rat
kelp-greenling,-Hexagrammos decagrammus
plaice,-Pleuronectes platessa
reed-meadow-grass,-Glyceria grandis
epidendron
nephthytis
narrowbody-aircraft,-narrow-body-aircraft, narrow-body
smalleye-hammerhead,-Sphyrna tudes
woodhewer,-woodcreeper,-wood-creeper,-tree creeper
bitterwood tree
European-rabbit,-Old-World-rabbit,-Oryctolagus cuniculus
grey-snapper,-gray-snapper,-mangrove-snapper,-Lutjanus griseus
succulent
stonefly,-stone-fly, plecopteran
figwort
